strategy_name,ma_short,ma_long,stoploss,sharpe_ratio,sortino_ratio,max_drawdown,Final_Return,Total_Trades,Average_Trades_PL
6_33_0.01,6,33,0.01,0.00863292245888643,0.012484292286612618,0.18429043892626096,0.3667839965035562,759,3.3228806978657536e-05
6_33_0.02,6,33,0.02,0.0005668694943374566,0.0008090556145505022,0.24861379965134112,-0.05165547528348613,644,-5.666624511005402e-06
6_33_0.03,6,33,0.03,-0.0010613146181373389,-0.0014972259754871943,0.42068344069457086,-0.1291639749992548,623,-1.2799792748267314e-05
6_33_0.04,6,33,0.04,-1.0079894712277508e-05,-1.4035902762002679e-05,0.3799273734076337,-0.0836801827212007,617,-2.8327240372089044e-06
6_33_0.05,6,33,0.05,-0.0022158062763056536,-0.003087775084711987,0.40151810655629994,-0.17444095719540897,614,-1.4626928466901229e-05
6_33_1,6,33,1.0,-3.353214564243351e-05,-4.8151238522906064e-05,0.41583603200149866,-0.08063095733335013,613,-1.2124340744190174e-06
6_34_0.005,6,34,0.005,0.014067368037572118,0.02051815902650956,0.1250563419212094,0.6576209435717715,873,6.402138893220601e-05
6_34_0.01,6,34,0.01,0.004347410267402416,0.0062366313207008525,0.20396531017089836,0.13695402315533212,769,1.4364752786483706e-05
6_34_0.02,6,34,0.02,-0.0003437936863450729,-0.0004916819525251464,0.24856660793329755,-0.09731201351525864,656,-9.858845527039833e-06
6_34_0.03,6,34,0.03,-0.0012527235570162457,-0.0017642586515851813,0.42574892052312985,-0.14025579137270072,627,-1.3633818326622302e-05
6_34_0.04,6,34,0.04,-0.0015552965366100755,-0.00215782793997512,0.4466910507037921,-0.16368607211331165,623,-9.732450317344982e-06
6_34_0.05,6,34,0.05,-0.003774921256484775,-0.005241910988978904,0.45440628285699247,-0.2502462267724621,620,-2.0890043791834957e-05
6_34_1,6,34,1.0,-0.001528742336492416,-0.0021895275007706764,0.46281845135202937,-0.15647700504645057,619,-7.682768728085841e-06
6_35_0.005,6,35,0.005,0.012534079327484257,0.01826154269977637,0.1657383552356586,0.5697967195888631,869,5.52356687470946e-05
6_35_0.01,6,35,0.01,0.0019286624764591445,0.0027591328537487723,0.2524600445548266,0.008899954862053194,761,2.9512053654098645e-06
6_35_0.02,6,35,0.02,-6.622630848147494e-05,-9.433570534495838e-05,0.2658976450954751,-0.08542936927339595,644,-9.178857196300653e-06
6_35_0.03,6,35,0.03,-0.0012103983158925657,-0.0017055365492694243,0.4182406797433965,-0.14569660478462299,619,-1.0293130609262563e-05
6_35_0.04,6,35,0.04,2.2958725884573077e-05,3.27446996007204e-05,0.3745960193144775,-0.08624703374025267,611,-4.322290153435318e-06
6_35_0.05,6,35,0.05,0.002544931435166721,0.00355161039172161,0.504263136152323,0.036092178653379436,611,1.2186563491173262e-05
6_35_1,6,35,1.0,-0.0027721311057234193,-0.003954713992320147,0.4949564234729471,-0.22135300631786137,609,-1.4012661740828437e-05
7_25_0.005,7,25,0.005,0.024448147936626904,0.036543827239000404,0.1098831412678678,1.1351056172134326,951,9.923853714797486e-05
7_25_0.01,7,25,0.01,0.010136231718852707,0.014623926694736934,0.19995787060032677,0.44255198015165687,845,4.133561448290343e-05
7_25_0.02,7,25,0.02,0.007779760369087604,0.011101860853192824,0.22228628652331384,0.3180638068878452,725,3.4265402174618754e-05
7_25_0.03,7,25,0.03,0.0004073249212785232,0.0005838110565316005,0.24789427786827334,-0.050362049266422626,694,-4.956081131030918e-06
7_25_0.04,7,25,0.04,-0.0016896671729126097,-0.0024040271759251317,0.26830599858431614,-0.13863012435470679,690,-9.996968942208434e-06
7_25_0.05,7,25,0.05,0.0002563225292679012,0.00037212161660074095,0.45368341390683686,-0.06424056605812578,687,2.507631673787717e-06
7_25_1,7,25,1.0,0.0002563225292679012,0.00037212161660074095,0.45368341390683686,-0.06424056605812578,687,2.507631673787717e-06
7_26_0.005,7,26,0.005,0.02325457871027443,0.03456493275493192,0.11435391664719974,1.1494778968191772,937,0.00010417854861678727
7_26_0.01,7,26,0.01,0.008028736739541395,0.011531182012760544,0.2992743251934452,0.35339846670979536,831,3.7254595163322725e-05
7_26_0.02,7,26,0.02,0.00686715603235891,0.00974861264726027,0.2527867613712619,0.2784425477226127,721,3.493734335750736e-05
7_26_0.03,7,26,0.03,0.0006702482241840443,0.0009588069840267537,0.2383336511934474,-0.03982358950124132,688,-2.445294471519738e-06
7_26_0.04,7,26,0.04,-0.0033808110514696992,-0.004849633584522021,0.327280355326688,-0.21310278749911726,686,-1.7060706210885407e-05
7_26_0.05,7,26,0.05,0.0006668536496472395,0.0009672946724097613,0.44784240042692103,-0.049109374797388416,683,5.442569618402898e-06
7_26_1,7,26,1.0,0.0006668536496472395,0.0009672946724097613,0.44784240042692103,-0.049109374797388416,683,5.442569618402898e-06
7_27_0.005,7,27,0.005,0.02266480773760972,0.033779781789559774,0.10849672834809965,1.0791049731796778,895,9.872228797310843e-05
7_27_0.01,7,27,0.01,0.007147301002809292,0.010273114416285253,0.3190156069360176,0.3145701831101799,797,4.173990879110828e-05
7_27_0.02,7,27,0.02,0.006564763412281203,0.009398522798000167,0.30833475119254905,0.2677390525067609,693,3.487175789680705e-05
7_27_0.03,7,27,0.03,-0.0008126506266878876,-0.0011570501640370344,0.2656746073098376,-0.10537730724732386,658,-6.371633169541862e-06
7_27_0.04,7,27,0.04,-0.00029497770634189413,-0.000419644777342278,0.27420070949801445,-0.08265903815647768,656,-4.527896232244714e-06
7_27_0.05,7,27,0.05,0.0014712208717947808,0.002131471098241899,0.39296741828994064,-0.008586396335778068,653,8.238803405739673e-06
7_27_1,7,27,1.0,0.0014712208717947808,0.002131471098241899,0.39296741828994064,-0.008586396335778068,653,8.238803405739673e-06
7_28_0.005,7,28,0.005,0.02096922546357484,0.030973160062089243,0.10798622430739158,0.9793729315638608,905,8.822798863053718e-05
