,close,holding,cash_flows,trades,stoploss,trades_pl,cum_cash_flow,cash
2018-01-21 13:35:00.000,12141.1,1.0,0.0,0.0,0,0.0,-12125.690000000015,1689.7199999999848
2018-01-21 13:40:00.000,12176.369999999999,1.0,0.0,0.0,0,0.0,-12125.690000000015,1689.7199999999848
2018-01-21 13:45:00.000,12170.07,1.0,0.0,0.0,0,0.0,-12125.690000000015,1689.7199999999848
2018-01-21 13:50:00.000,12083.17,1.0,0.0,0.0,0,0.0,-12125.690000000015,1689.7199999999848
2018-01-21 13:55:00.000,11995.96,1.0,0.0,0.0,0,0.0,-12125.690000000015,1689.7199999999848
2018-01-21 14:00:00.000,12050.0,1.0,0.0,0.0,0,0.0,-12125.690000000015,1689.7199999999848
2018-01-21 14:05:00.000,12000.06,0.0,12000.06,-1.0,0,-0.009803719323666304,-125.63000000001557,13689.779999999984
2018-01-21 14:10:00.000,11926.349999999999,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:15:00.000,11783.93,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:20:00.000,11845.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:25:00.000,11799.55,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:30:00.000,11677.65,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:35:00.000,11649.96,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:40:00.000,11675.07,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:45:00.000,11687.03,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:50:00.000,11730.47,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 14:55:00.000,11679.949999999999,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:00:00.000,11762.43,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
