strategy_name,ma_short,ma_long,stoploss,sharpe_ratio,sortino_ratio,max_drawdown,Final_Return,Total_Trades,Average_Trades_PL
7_33_0.005,7,33,0.005,0.0004409192291152832,0.0006440772735872762,0.16666115793173275,0.6845133918917283,833,6.503647627724459e-05
7_27_0.02,7,27,0.02,-0.004881688743292215,-0.006988928627761393,0.30833475119254905,0.2677390525067609,693,3.487175789680705e-05
7_31_0.04,7,31,0.04,-0.012236689013188733,-0.017028059358029705,0.4116456946848621,-0.17269755108497886,629,-9.42148427510137e-06
7_34_0.03,7,34,0.03,-0.012377215482059818,-0.017478734497804186,0.4248887625559731,-0.1845141933139538,589,-1.5284714477150777e-05
7_35_1,7,35,1.0,-0.010841863424325904,-0.015332031134932969,0.2483102356713589,-0.10531262056765966,562,-1.319990356484587e-05
6_32_0.05,6,32,0.05,-0.01246856033539305,-0.017877120148626198,0.4800168386261402,-0.16657555290805315,629,-7.739458207545625e-06
6_35_0.04,6,35,0.04,-0.010802541367792892,-0.015407038430229992,0.3745960193144775,-0.08624703374025267,611,-4.322290153435318e-06
6_31_0.02,6,31,0.02,-0.006397681630347143,-0.00912805759430071,0.3393281436133957,0.16571665871690033,677,2.3361453516133314e-05
6_34_0.01,6,34,0.01,-0.007406072578720856,-0.010624473276462168,0.20396531017089836,0.13695402315533212,769,1.4364752786483706e-05
7_26_0.005,7,26,0.005,0.007215365913588985,0.010724711064975816,0.11435391664719974,1.1494778968191772,937,0.00010417854861678727
7_28_1,7,28,1.0,-0.01134538593700391,-0.016290092835878258,0.41614182752597384,-0.08711817226966345,653,6.469467162642119e-07
7_33_0.01,7,33,0.01,-0.0052044619969592925,-0.00749747892938461,0.20016274562784697,0.2719474991981121,723,2.5617243960711396e-05
7_30_0.02,7,30,0.02,-0.007820869359445136,-0.01113146215746018,0.33688949562998005,0.08072563240295105,664,1.9814094349190682e-05
7_27_0.03,7,27,0.03,-0.012831216183286052,-0.018269057208723197,0.2656746073098376,-0.10537730724732386,658,-6.371633169541862e-06
7_31_0.05,7,31,0.05,-0.014794391278713993,-0.020598152111136685,0.41482812403514613,-0.26405103635854243,626,-2.1203853494078265e-05
7_34_0.04,7,34,0.04,-0.010926130101777096,-0.015338500551005003,0.34606677328465396,-0.0971529069767445,581,-6.763675740848054e-06
8_25_0.005,8,25,0.005,0.005436389795475575,0.00802663489068474,0.09890965166595378,1.0102993640346862,939,9.341019160581645e-05
6_32_1,6,32,1.0,-0.01246856033539305,-0.017877120148626198,0.4800168386261402,-0.16657555290805315,629,-7.739458207545625e-06
6_35_0.05,6,35,0.05,-0.007661798286737058,-0.010692516913591228,0.504263136152323,0.036092178653379436,611,1.2186563491173262e-05
6_34_0.02,6,34,0.02,-0.011538540824563884,-0.01650202579991036,0.24856660793329755,-0.09731201351525864,656,-9.858845527039833e-06
6_31_0.03,6,31,0.03,-0.012559565980247236,-0.017816181498231918,0.4522379839084706,-0.1625611896044643,647,-1.3395575993417656e-05
7_26_0.01,7,26,0.01,-0.0037146807431713055,-0.005335168054252538,0.2992743251934452,0.35339846670979536,831,3.7254595163322725e-05
7_29_0.005,7,29,0.005,0.0035539771818412064,0.0052460174554012475,0.11253025265844785,0.8960105602475592,899,8.05061569381329e-05
7_30_0.03,7,30,0.03,-0.009778237189961968,-0.013852361159263412,0.28163535577257415,-0.0028387414205233163,635,4.607928469110449e-06
7_33_0.02,7,33,0.02,-0.010010009454768067,-0.014159521557728568,0.4187145783621754,-0.14945869297342917,619,-6.7263209241024295e-06
7_27_0.04,7,27,0.04,-0.012397322151511028,-0.01763682943510791,0.27420070949801445,-0.08265903815647768,656,-4.527896232244714e-06
7_31_1,7,31,1.0,-0.012585177998138916,-0.018050634559311243,0.44554953763370175,-0.17028181463253134,625,-7.777194154023605e-06
7_34_0.05,7,34,0.05,-0.015741292364823488,-0.02184681009309261,0.47233656662542256,-0.31994898255813964,578,-2.7984084866206827e-05
8_25_0.01,8,25,0.01,-0.0031177122125077778,-0.00447179308215422,0.2613446807248845,0.40452456765452105,819,4.653873227544668e-05
6_33_0.005,6,33,0.005,0.0029053127945074947,0.0042743608546051476,0.15835646237174483,0.8537658441744289,863,8.22072062235156e-05
6_35_1,6,35,1.0,-0.01308626348558413,-0.018668824575712985,0.4949564234729471,-0.22135300631786137,609,-1.4012661740828437e-05
6_34_0.03,6,34,0.03,-0.012283213337589614,-0.017298920642735173,0.42574892052312985,-0.14025579137270072,627,-1.3633818326622302e-05
6_31_0.04,6,31,0.04,-0.009741950680373203,-0.01372360503006017,0.3039056677092823,-0.007331179999404136,641,2.7330970083193817e-06
7_26_0.02,7,26,0.02,-0.00501633743979372,-0.0071211911274571705,0.2527867613712619,0.2784425477226127,721,3.493734335750736e-05
7_29_0.01,7,29,0.01,-0.004009126152247547,-0.005803422005451392,0.1586382699297212,0.3587358181942213,787,3.7592336028954664e-05
7_30_0.04,7,30,0.04,-0.011259298170510286,-0.015719476367754556,0.3462785186771803,-0.08786288514206675,631,-1.3522824007045538e-06
7_33_0.03,7,33,0.03,-0.01318071170361957,-0.018553929422903744,0.45002641167215196,-0.19296686932782214,589,-1.888796237999113e-05
7_27_0.05,7,27,0.05,-0.010144622924495864,-0.014697297313180936,0.39296741828994064,-0.008586396335778068,653,8.238803405739673e-06
7_32_0.005,7,32,0.005,0.0010201036093157516,0.0014969604106181843,0.1651678407677707,0.7211471605909567,861,6.967701623559969e-05
7_34_1,7,34,1.0,-0.013362685482003788,-0.01910207639841599,0.48779433875537637,-0.22604360465116324,577,-1.4829044807701552e-05
8_25_0.02,8,25,0.02,-0.0061842036308588505,-0.008767071167476504,0.24899265948100135,0.2072359857822692,711,2.7748748195900335e-05
6_33_0.01,6,33,0.01,-0.004040008004524427,-0.005842359989787679,0.18429043892626096,0.3667839965035562,759,3.3228806978657536e-05
7_25_0.005,7,25,0.005,0.007333296882166007,0.01096143294980196,0.1098831412678678,1.1351056172134326,951,9.923853714797486e-05
6_34_0.04,6,34,0.04,-0.012092335468327657,-0.016776980285690243,0.4466910507037921,-0.16368607211331165,623,-9.732450317344982e-06
6_31_0.05,6,31,0.05,-0.012471630717887377,-0.01786095723053739,0.4879460048287326,-0.16228340517163087,637,-7.865670367562791e-06
7_26_0.03,7,26,0.03,-0.011566781719388674,-0.01654657288911748,0.2383336511934474,-0.03982358950124132,688,-2.445294471519738e-06
7_29_0.02,7,29,0.02,-0.011063909664989236,-0.01565221971522467,0.41293075696625414,-0.15324321225429927,690,-2.128192103060198e-06
7_33_0.04,7,33,0.04,-0.0124075860917646,-0.017228202921692557,0.4338691337215079,-0.17467212579408697,583,-1.1063152870587317e-05
7_30_0.05,7,30,0.05,-0.013619566564536464,-0.019016448000458545,0.39516681688239863,-0.17921637041563032,628,-1.3127657762568686e-05
7_27_1,7,27,1.0,-0.010144622924495864,-0.014697297313180936,0.39296741828994064,-0.008586396335778068,653,8.238803405739673e-06
7_32_0.01,7,32,0.01,-0.00455444001226793,-0.006568379378001848,0.16864847183895604,0.320014564607497,739,3.199795930813421e-05
7_35_0.005,7,35,0.005,0.00043290334290317894,0.0006341748335044646,0.1765137757120362,0.6802328075066912,827,6.562935277276631e-05
8_25_0.03,8,25,0.03,-0.01254342986061407,-0.017872962500546968,0.2646351320919458,-0.12046842289532878,678,-8.477152696098208e-06
6_33_0.02,6,33,0.02,-0.010959064574687214,-0.015641153409983975,0.24861379965134112,-0.05165547528348613,644,-5.666624511005402e-06
7_25_0.01,7,25,0.01,-0.0030440687791631407,-0.004391793707460527,0.19995787060032677,0.44255198015165687,845,4.133561448290343e-05
6_34_0.05,6,34,0.05,-0.014523297156059371,-0.02016726331119451,0.45440628285699247,-0.2502462267724621,620,-2.0890043791834957e-05
6_31_1,6,31,1.0,-0.012471630717887377,-0.01786095723053739,0.4879460048287326,-0.16228340517163087,637,-7.865670367562791e-06
7_26_0.04,7,26,0.04,-0.015039599809135374,-0.02157368371723911,0.327280355326688,-0.21310278749911726,686,-1.7060706210885407e-05
7_30_1,7,30,1.0,-0.01157877881086069,-0.016643201421385853,0.3859991625768625,-0.08544714868961922,627,1.2619391867106558e-07
7_29_0.03,7,29,0.03,-0.009357250384482665,-0.013264174698605012,0.31146120874301986,0.007840403251674566,653,6.3344628537693184e-06
7_33_0.05,7,33,0.05,-0.014944457834969773,-0.020764948082785617,0.4550375409778278,-0.2641613413081877,580,-2.278267811422113e-05
7_28_0.005,7,28,0.005,0.004848263065596403,0.0071612577305100195,0.10798622430739158,0.9793729315638608,905,8.822798863053718e-05
7_32_0.02,7,32,0.02,-0.01287374304440881,-0.018190488531586176,0.3135922140383878,-0.18019757648414558,636,-1.0755834454724812e-05
7_35_0.01,7,35,0.01,-0.007780035255600012,-0.011166544306225554,0.2950658827094812,0.044900073523521655,716,9.896694541242857e-06
8_25_0.04,8,25,0.04,-0.016362346545731002,-0.023278614511396317,0.3788125500872477,-0.25122802973217173,666,-1.5111319668068864e-05
7_25_0.02,7,25,0.02,-0.0048233046561231485,-0.006882944281626533,0.22228628652331384,0.3180638068878452,725,3.4265402174618754e-05
6_34_1,6,34,1.0,-0.012339795149065807,-0.01767356093162676,0.46281845135202937,-0.15647700504645057,619,-7.682768728085841e-06
6_33_0.03,6,33,0.03,-0.012244420748290795,-0.01727354404230301,0.42068344069457086,-0.1291639749992548,623,-1.2799792748267314e-05
6_32_0.005,6,32,0.005,0.0004368290700115031,0.0006396526286637178,0.1458831327290887,0.6812724998348467,893,6.323998164511747e-05
7_26_0.05,7,26,0.05,-0.010668897177138746,-0.015475610586210388,0.44784240042692103,-0.049109374797388416,683,5.442569618402898e-06
7_31_0.005,7,31,0.005,0.0016543698179991332,0.002430740051288505,0.09971525927735903,0.7696940198752247,889,6.982139647444547e-05
7_33_1,7,33,1.0,-0.012730798425694283,-0.01821763012641277,0.46580101839716204,-0.17039211958217604,579,-9.378767727324195e-06
7_29_0.04,7,29,0.04,-0.008742096320721508,-0.012373022743613437,0.32001614665318157,0.04846689182422681,649,9.680961251369737e-06
7_28_0.01,7,28,0.01,-0.004651713860373242,-0.0066697939528903615,0.33183148043092026,0.24143780175574947,795,3.472787970821719e-05
7_32_0.03,7,32,0.03,-0.01299848194866668,-0.018336820046100447,0.41384149900149036,-0.1651395139905858,609,-1.5490195170534745e-05
7_35_0.02,7,35,0.02,-0.010916510687913935,-0.015498688860271366,0.41572527570198914,-0.19226420423524648,605,-1.4751245703721071e-05
8_25_0.05,8,25,0.05,-0.010714112790990651,-0.015561340366987043,0.4315712267397023,-0.0402902906508491,665,7.757284394332135e-06
6_35_0.005,6,35,0.005,-0.0012084680673249016,-0.001760679076314681,0.1657383552356586,0.5697967195888631,869,5.52356687470946e-05
7_25_0.03,7,25,0.03,-0.011916067729691572,-0.017079073063188368,0.24789427786827334,-0.050362049266422626,694,-4.956081131030918e-06
6_32_0.01,6,32,0.01,-0.005743913209766436,-0.0082603772459649,0.2164130233492565,0.2558967299961752,775,2.3426014298365842e-05
6_33_0.04,6,33,0.04,-0.011113703085304023,-0.015475444960858226,0.3799273734076337,-0.0836801827212007,617,-2.8327240372089044e-06
7_26_1,7,26,1.0,-0.010668897177138746,-0.015475610586210388,0.44784240042692103,-0.049109374797388416,683,5.442569618402898e-06
7_34_0.005,7,34,0.005,0.0009734511208951069,0.001425900088234553,0.1697059846336011,0.7175905305232693,839,6.847215592956045e-05
7_31_0.01,7,31,0.01,-0.0043439897017458545,-0.006270966725651128,0.1752344049716873,0.33746833449685787,765,3.347966229423513e-05
7_29_0.05,7,29,0.05,-0.011574535508273389,-0.016613145622848022,0.430187904458453,-0.10934703823953229,645,-1.2209418540770023e-06
7_28_0.02,7,28,0.02,-0.008307578657406233,-0.011833740319884153,0.35349468601390344,0.05437033813933301,696,1.4838314155261292e-05
7_32_0.04,7,32,0.04,-0.011841865396906381,-0.016483464664083392,0.37313801454980267,-0.1195385189238296,603,-5.405152292701794e-06
7_35_0.03,7,35,0.03,-0.010144073263220471,-0.014448804022007948,0.32488880740154125,-0.08932427513812946,573,-8.451971608841833e-06
8_25_1,8,25,1.0,-0.010714112790990651,-0.015561340366987043,0.4315712267397023,-0.0402902906508491,665,7.757284394332135e-06
6_35_0.01,6,35,0.01,-0.009052287932399268,-0.012950148271526995,0.2524600445548266,0.008899954862053194,761,2.9512053654098645e-06
7_25_0.04,7,25,0.04,-0.013850564744808287,-0.019706327128929668,0.26830599858431614,-0.13863012435470679,690,-9.996968942208434e-06
6_33_0.05,6,33,0.05,-0.013558750406334868,-0.01889441876404099,0.40151810655629994,-0.17444095719540897,614,-1.4626928466901229e-05
6_32_0.02,6,32,0.02,-0.012157153389926506,-0.017372522279156703,0.35543474482913384,-0.15412671273901002,666,-9.37494951792039e-06
7_27_0.005,7,27,0.005,0.006326026029602282,0.00942835171376471,0.10849672834809965,1.0791049731796778,895,9.872228797310843e-05
7_34_0.01,7,34,0.01,-0.006373007407936089,-0.009148045027583913,0.3100902385048745,0.13377744186046536,722,1.896174456352849e-05
